date,market_cap,total_volume
2014-10-02,5286575726,22496699.49
2014-10-03,5076424941,31803914.58
2014-10-04,4686681608,48587289.2
2014-10-05,4640891291,87214413.29
2014-10-06,4691674742,80221053.47
2014-10-07,4735028091,46749725
2014-10-08,5030806231,54246995.02
2014-10-09,5097499109,84362330.95
2014-10-10,5083348793,44095056.08
2014-10-11,5108153080,34211999.59
2014-10-12,5312992044,32584826.31
2014-10-13,5486024302,58042231.08
2014-10-14,5645520047,76097977.94
2014-10-15,5561414355,51759718.27
2014-10-16,5389260446,50952993.25
2014-10-17,5404463915,39599293.22
2014-10-18,5528644728,45200277.05
2014-10-19,5497099194,33917088.46
2014-10-20,5401722389,34080662.38
2014-10-21,5443636358,34320388.44
2014-10-22,5403776778,24258301.87
2014-10-23,5087717348,50505098.91
2014-10-24,5062411946,34019062.51
2014-10-25,4952935756,36331048.83
2014-10-26,4992987682,28927513.4
2014-10-27,4981590590,42169593.5
2014-10-28,5025298435,28080810.39
2014-10-29,4772152693,45202606
2014-10-30,4922086299,61279198.53
2014-10-31,4825402512,31485912.03
2014-11-01,4643797334,40094128.42
2014-11-02,4646373702,29503369.27
2014-11-03,4651015851,41895026.52
2014-11-04,4706436748,36329186.18
2014-11-05,4841413457,45868783.19
2014-11-06,4983874487,44891708.87
2014-11-07,4892679258,42068254.2
2014-11-08,4941385962,31467308.55
2014-11-09,5208426223,53153543.85
2014-11-10,5211082009,64664338.28
2014-11-11,5243615196,47485799.78
2014-11-12,5970868900,240377117.4
2014-11-13,5921563654,345883885.4
2014-11-14,5661449406,266418910.7
2014-11-15,5412861297,101283356.4
2014-11-16,5558748217,97148296.36
2014-11-17,5524628559,155049503.5
2014-11-18,5388337532,111282603.8
2014-11-19,5424355627,85978398.54
2014-11-20,5140429581,96682279.9
2014-11-21,5071253639,102730455.8
2014-11-22,5136285144,71336745.61
2014-11-23,5394584641,74102825.68
2014-11-24,5544390913,120066253.2
2014-11-25,5545254319,120081230
2014-11-26,5453913316,96077509.94
2014-11-27,5587516741,77209283.68
2014-11-28,5743708960,95507141.61
2014-11-29,5681859682,104019417.7
2014-11-30,5615809480,78496622.79
2014-12-01,5697218257,68286540.75
2014-12-02,5748813445,70702400.1
2014-12-03,5647869074,76830979.12
2014-12-04,5573210618,66064654.26
2014-12-05,5701937847,60177197.31
2014-12-06,5684961977,50943392.72
2014-12-07,5711714979,41153178.16
2014-12-08,5492228184,70911795
2014-12-09,5394284433,92620411.61
2014-12-10,5368702647,61767063.52
2014-12-11,5381498671,121769339.3
2014-12-12,5446573332,53223427.22
2014-12-13,5410095115,40889938.33
2014-12-14,5454859586,45740745.96
2014-12-15,5410057578,34330801.12
2014-12-16,5284359940,81645456.5
2014-12-17,5276468011,84101684.02
2014-12-18,5226347992,97148208.35
2014-12-19,5200734554,69077080.71
2014-12-20,5333589995,71190894.01
2014-12-21,5202082634,64481260.14
2014-12-22,5438412551,54503002.15
2014-12-23,5447350110,62354714.94
2014-12-24,5257435237,40701701.67
2014-12-25,5230808356,83427029.98
2014-12-26,5406514031,102501361.1
2014-12-27,5187805440,151491712.2
2014-12-28,5200821038,73202354.96
2014-12-29,5164781504,104178107.2
2014-12-30,5129837913,75693701.07
2014-12-31,5236333951,73776067.94
2015-01-01,5191903008,49123256.36
2015-01-02,5196485612,41828100.69
2015-01-03,4729401444,137065568
2015-01-04,4263484878,225823180
2015-01-05,4483350197,171065105.5
2015-01-06,4667192727,107285111.5
2015-01-07,4819129029,122336560
2015-01-08,4655758237,93751389.69
2015-01-09,4723513992,89159016.22
2015-01-10,4463970488,107730242.1
2015-01-11,4352283509,95334301.88
2015-01-12,4357436852,90275240.51
2015-01-13,3612939440,236059405.6
2015-01-14,2874611725,260400923.7
2015-01-15,3485004855,276588190.6
2015-01-16,3420130627,191914483.2
2015-01-17,3300090084,116182287.9
2015-01-18,3440486361,129211718.2
2015-01-19,3530185540,112401572.4
2015-01-20,3478135493,101003373
2015-01-21,3687873584,105241384.4
2015-01-22,3808849277,160956520.4
2015-01-23,3814611649,132457041.6
2015-01-24,4042400864,155921634.7
2015-01-25,4129618525,194151936.6
2015-01-26,4345559415,437171354.4
2015-01-27,4170180473,363408348.2
2015-01-28,464237434.9,1301450
2015-01-29,3765776766,174867013.8
2015-01-30,3706159213,114552868.5
2015-01-31,3555881528,97270898.59
2015-02-01,3661655095,112940367
2015-02-02,3843222467,117733413.9
2015-02-03,3624342267,146502191.5
2015-02-04,3629161777,89198698.08
2015-02-05,3538075660,78610654.45
2015-02-06,3659803155,93744218.07
2015-02-07,3706318702,84533911.06
2015-02-08,3642932687,79916183.52
2015-02-09,3590169263,83223215.88
2015-02-10,3589667661,71267166.45
2015-02-11,3575230358,68895628.78
2015-02-12,3624990594,54457837.57
2015-02-13,3834402607,145072505.1
2015-02-14,4176962960,172596960.3
2015-02-15,3769546300,211110329.9
2015-02-16,3813353879,132548452.1
2015-02-17,3912120900,125210794.8
2015-02-18,3795879497,91084085.35
2015-02-19,3877197448,72667465.49
2015-02-20,3921550021,83224025.8
2015-02-21,3916355300,65712977.22
2015-02-22,3790244486,77034358.46
2015-02-23,3833822842,63643151.81
2015-02-24,3847658701,60679361.44
2015-02-25,3829005375,59421624.63
2015-02-26,3808689736,46746484.03
2015-02-27,4064455831,142439363.1
2015-02-28,4048216891,88309154.1
2015-03-01,4078281389,63800024.35
2015-03-02,4252083111,101792968.1
2015-03-03,4351541319,138361084.2
2015-03-04,4219282321,128009782.9
2015-03-05,4295020558,105800501.5
2015-03-06,4246899611,77969476.64
2015-03-07,4281809794,52888140.73
2015-03-08,4265565543,48163932.85
2015-03-09,4481504367,116743387.4
2015-03-10,4479320238,143705709.6
2015-03-11,4560234310,79239383.21
2015-03-12,4543955352,72838115.07
2015-03-13,4464344998,72130103.01
2015-03-14,4392956280,66753665.04
2015-03-15,4434093942,35172331.25
2015-03-16,4512919000,65537938.61
2015-03-17,4429000864,57668063.56
2015-03-18,4008021193,133009571.9
2015-03-19,4070828245,144449415.1
2015-03-20,4086829103,62922600.73
2015-03-21,4064311755,58032518.37
2015-03-22,4181144698,53978300.42
2015-03-23,4166452436,76421875.12
2015-03-24,3854799338,159549855.8
2015-03-25,3849750221,188178898.8
2015-03-26,3857173280,154003164.1
2015-03-27,3857153177,93223326.97
2015-03-28,3924184616,84612046.64
2015-03-29,3776487446,87222103.36
2015-03-30,3841981579,99597644.99
2015-03-31,3793832922,79013451.97
2015-04-01,3808200135,81105803.25
2015-04-02,3899222690,98029629.69
2015-04-03,3944008966,97420925.78
2015-04-04,3943592811,65504584.69
2015-04-05,4030206484,85281456.06
2015-04-06,3971833196,86620351.73
2015-04-07,3947619380,91041165.33
2015-04-08,3826866667,110451617.8
2015-04-09,3799649389,97875731.77
2015-04-10,3660569477,114946386.2
2015-04-11,3684246398,91784728.62
2015-04-12,3681481399,65993892.77
2015-04-13,3502439174,91827450.42
2015-04-14,3412198226,114602428
2015-04-15,3479273087,78020517.19
2015-04-16,3550243708,92912806.74
2015-04-17,3475670879,105056620
2015-04-18,3480785409,72204779.58
2015-04-19,3473267367,61243656.17
2015-04-20,3501857523,66243744.14
2015-04-21,3652610442,83877783
2015-04-22,3645782616,76662515.8
2015-04-23,3668073081,57412588.33
2015-04-24,3607687178,76112143.4
2015-04-25,3535747631,60750784.29
2015-04-26,3416639018,100975534.5
2015-04-27,3563663498,98530929.19
2015-04-28,3516422289,74157773.07
2015-04-29,3530132272,59007656.52
2015-04-30,3684954732,108878223.9
2015-05-01,3633269556,77706084.85
2015-05-02,3670028766,63133481.42
2015-05-03,3735995645,90942668.46
2015-05-04,3723406597,87463550.03
2015-05-05,3678576323,74323178.6
2015-05-06,3586678938,72675860.03
2015-05-07,3679745401,80437739.3
2015-05-08,3778498973,83908377.01
2015-05-09,3747224644,83842590.99
2015-05-10,3711781593,72498299.04
2015-05-11,3744690978,73323498.56
2015-05-12,3737656127,64558517.29
2015-05-13,3642182772,53832009.38
2015-05-14,3650983239,59521103.77
2015-05-15,3657520994,40975098.73
2015-05-16,3640483088,28365922.54
2015-05-17,3633325643,25808130.96
2015-05-18,3562759815,36850381.05
2015-05-19,3582140437,33662051.8
2015-05-20,3616776692,30699990.49
2015-05-21,3634981233,29696451.63
2015-05-22,3745682939,75741004.31
2015-05-23,3724488890,65557589
2015-05-24,3758898936,38731015.13
2015-05-25,3707990631,36510710.52
2015-05-26,3707442147,34677150.22
2015-05-27,3711330176,37845266.66
2015-05-28,3746429764,33731950.1
2015-05-29,3779103084,39136668.7
2015-05-30,3705184183,36291451.05
2015-05-31,3640907578,31588730.54
2015-06-01,3526661284,50861517.79
2015-06-02,3575997129,38561439.67
2015-06-03,3574875419,35553455.95
2015-06-04,3552308698,32316157.84
2015-06-05,3566768428,38064319.51
2015-06-06,3573553834,23462529.92
2015-06-07,3547381272,28280297.38
2015-06-08,3627257633,46910218.04
2015-06-09,3639478728,40570383.51
2015-06-10,3629175921,33238840.04
2015-06-11,3645600282,33236356.7
2015-06-12,3654673372,33479364.89
2015-06-13,3689591508,35204792.7
2015-06-14,3711371152,52194979.6
2015-06-15,3776530503,56999529.9
2015-06-16,4026514027,159693973.9
2015-06-17,3995417208,192415107.3
2015-06-18,4039291208,124472482.2
2015-06-19,3978627362,106851312.6
2015-06-20,4016858757,105341157.2
2015-06-21,3990842789,60067509.44
2015-06-22,4045476897,63724062.33
2015-06-23,3998858410,53343985.7
2015-06-24,3952314585,60736534.01
2015-06-25,3987024880,63948094.07
2015-06-26,3995997481,51967456.23
2015-06-27,4132919610,88323688.22
2015-06-28,4098631489,65625483.7
2015-06-29,4255224170,160318329
2015-06-30,4342248132,219982340.1
2015-07-01,4259346023,126820064.8
2015-07-02,4220641958,113855616.3
2015-07-03,4232545171,78611750.73
2015-07-04,4300012744,78362684.92
2015-07-05,4454874726,172758087.9
2015-07-06,4442043480,297670139.4
2015-07-07,4380384696,183726413.8
2015-07-08,4478701906,269916264
2015-07-09,4508220151,427970426.8
2015-07-10,4615655296,264590384.2
2015-07-11,4697730447,271596377
2015-07-12,5005603571,271251185
2015-07-13,4699997428,263141468.4
2015-07-14,4639779348,153473408.6
2015-07-15,4577931965,107701622.4
2015-07-16,4437526554,233413286.9
2015-07-17,4470154895,151855980.7
2015-07-18,4423011664,135974705.4
2015-07-19,4385792828,73838652.06
2015-07-20,4458333007,95385393.81
2015-07-21,4414585220,97624295.79
2015-07-22,4432284722,95081545.97
2015-07-23,4420570159,67865672.96
2015-07-24,4647716215,268662685
2015-07-25,4654699646,201405298.7
2015-07-26,4709973425,146847885.3
2015-07-27,4737478083,142076781.4
2015-07-28,4769605385,210334911
2015-07-29,4684681618,169940156.4
2015-07-30,4646785751,136559779.7
2015-07-31,4601262715,159305859.5
2015-08-01,4533065816,178829548
2015-08-02,4546875254,175516145.6
2015-08-03,4554591807,175429103.4
2015-08-04,4592185841,160062326
2015-08-05,4548263912,113341261.1
2015-08-06,4479408584,118139256.2
2015-08-07,4494412516,138577149.2
2015-08-08,4221469819,159124010.2
2015-08-09,4297443813,158475956.1
2015-08-10,4305710908,128195879.7
2015-08-11,4403326434,136502586.1
2015-08-12,4359505517,140842015.8
2015-08-13,4287980619,108223231.1
2015-08-14,4320893676,131758164
2015-08-15,4252897203,78792701.32
2015-08-16,4211586175,102420093.6
2015-08-17,4202307892,110365186.6
2015-08-18,4136259331,90568773.65
2015-08-19,3709786622,226430179.2
2015-08-20,3847754727,151479537.7
